"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 11, 2017","0.035690","0.036160","0.037190","0.035400","256.21K","-1.30%"
"Apr 10, 2017","0.036160","0.036100","0.037090","0.035140","264.78K","0.17%"
"Apr 09, 2017","0.036100","0.037470","0.037730","0.035540","469.83K","-3.66%"
"Apr 08, 2017","0.037470","0.035280","0.042440","0.035280","619.95K","6.21%"
"Apr 07, 2017","0.035280","0.036180","0.037830","0.034600","661.72K","-2.49%"
"Apr 06, 2017","0.036180","0.039700","0.039900","0.033430","1.10M","-8.87%"
"Apr 05, 2017","0.039700","0.038780","0.042470","0.038560","657.80K","2.37%"
"Apr 04, 2017","0.038780","0.038200","0.040510","0.035510","1.29M","1.52%"
"Apr 03, 2017","0.038200","0.043700","0.043880","0.037000","1.37M","-12.59%"
"Apr 02, 2017","0.043700","0.046240","0.047350","0.035310","945.58K","-5.49%"
"Apr 01, 2017","0.046240","0.045920","0.048400","0.043900","669.84K","0.70%"
"Mar 31, 2017","0.045920","0.049800","0.049890","0.043200","864.43K","-7.79%"
"Mar 30, 2017","0.049800","0.050720","0.051990","0.049010","456.57K","-1.81%"
"Mar 29, 2017","0.050720","0.048230","0.052990","0.047700","898.13K","5.16%"
"Mar 28, 2017","0.048230","0.046890","0.049300","0.045740","663.99K","2.86%"
"Mar 27, 2017","0.046890","0.052210","0.053300","0.045600","781.40K","-10.19%"
"Mar 26, 2017","0.052210","0.052550","0.054180","0.048230","864.58K","-0.65%"
"Mar 25, 2017","0.052550","0.056400","0.057500","0.050120","1.57M","-6.83%"
"Mar 24, 2017","0.056400","0.041810","0.057900","0.041400","1.82M","34.90%"
"Mar 23, 2017","0.041810","0.040000","0.042900","0.038400","726.67K","4.52%"
"Mar 22, 2017","0.040000","0.038090","0.041100","0.036500","724.35K","5.01%"
"Mar 21, 2017","0.038090","0.040800","0.041250","0.037100","588.32K","-6.64%"
"Mar 20, 2017","0.040800","0.042240","0.043850","0.038800","1.21M","-3.41%"
"Mar 19, 2017","0.042240","0.035000","0.043900","0.035000","1.40M","20.69%"
"Mar 18, 2017","0.035000","0.041680","0.042000","0.031900","1.99M","-16.03%"
"Mar 17, 2017","0.041680","0.038680","0.047400","0.032380","3.19M","7.76%"
"Mar 16, 2017","0.038680","0.027900","0.040700","0.027520","3.36M","38.64%"
"Mar 15, 2017","0.027900","0.022950","0.027900","0.022500","1.63M","21.57%"
"Mar 14, 2017","0.022950","0.022880","0.024390","0.021000","1.15M","0.31%"
"Mar 13, 2017","0.022880","0.019020","0.025300","0.019000","2.78M","20.29%"
"Mar 12, 2017","0.019020","0.018150","0.019490","0.017840","856.64K","4.79%"
"Mar 11, 2017","0.018150","0.017430","0.018710","0.016230","961.96K","4.13%"
"Mar 10, 2017","0.017430","0.014810","0.018060","0.013830","1.33M","17.69%"
"Mar 09, 2017","0.014810","0.014430","0.014980","0.013900","344.89K","2.63%"
"Mar 08, 2017","0.014430","0.015280","0.015380","0.014370","581.84K","-5.56%"
"Mar 07, 2017","0.015280","0.015250","0.015630","0.014920","503.53K","0.20%"
"Mar 06, 2017","0.015250","0.015100","0.015770","0.014870","376.56K","0.99%"
"Mar 05, 2017","0.015100","0.014560","0.015340","0.014390","305.64K","3.71%"
"Mar 04, 2017","0.014560","0.015100","0.015630","0.014560","315.34K","-3.58%"
"Mar 03, 2017","0.015100","0.015080","0.016330","0.014250","1.42M","0.13%"
"Mar 02, 2017","0.015080","0.014110","0.015400","0.013600","1.33M","6.87%"
"Mar 01, 2017","0.014110","0.013270","0.014250","0.012670","772.80K","6.33%"
"Feb 28, 2017","0.013270","0.012970","0.013460","0.012600","1.37M","2.31%"
"Feb 27, 2017","0.012970","0.012400","0.013200","0.012060","683.21K","4.60%"
"Feb 26, 2017","0.012400","0.011750","0.012440","0.011530","449.03K","5.53%"
"Feb 25, 2017","0.011750","0.011050","0.011990","0.010960","393.52K","4.26%"
"Feb 24, 2017","0.011270","0.011270","0.011270","0.011270","-","0.00%"
"Feb 23, 2017","0.011270","0.011220","0.011320","0.011120","78.10K","0.45%"
"Feb 22, 2017","0.011220","0.011330","0.011570","0.011030","237.70K","-0.97%"
